Timestamp;Suhu Udara (°C);Kelembaban Udara (%);Suhu Tanah (°C);Kelembaban Tanah (%);pH Tanah;Nitrogen (mg/kg);Fosfor (mg/kg);Kalium (mg/kg);Status Kesuburan;Rekomendasi;Curah Hujan (mm);Lokasi
2025-08-27 08:57:00;23.1;43.7;28.8;40.0;5.50;118;67;222;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.1;Eucalyptus Farm
2025-08-27 08:57:16;24.0;48.9;29.5;53.1;5.50;118;65;106;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.1;Eucalyptus Farm
2025-08-27 08:57:24;22.5;50.9;28.0;76.0;7.00;16;0;19;Data Tidak Lengkap;Periksa sensor pH dan NPK;2.6;Eucalyptus Farm
2025-08-27 08:58:26;26.2;51.4;28.8;42.0;7.00;0;0;78;Data Tidak Lengkap;Periksa sensor pH dan NPK;4.9;Eucalyptus Farm
2025-08-27 08:59:16;27.4;61.6;29.5;45.4;7.49;59;43;109;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.5;Eucalyptus Farm
2025-08-27 08:59:21;30.1;39.8;27.7;47.4;4.59;64;104;282;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;4.9;Eucalyptus Farm
2025-08-27 09:00:27;27.6;46.8;27.1;57.5;7.98;121;14;150;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;3.1;Eucalyptus Farm
2025-08-27 09:02:28;23.7;57.8;28.8;50.0;5.64;97;40;207;Sedang;Pantau dan sesuaikan pupuk jika perlu;6.5;Eucalyptus Farm
2025-08-27 09:04:23;27.9;41.4;29.5;50.1;6.77;61;21;177;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.5;Eucalyptus Farm
2025-08-27 09:04:50;24.3;59.6;28.2;77.8;5.50;75;71;214;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.5;Eucalyptus Farm
2025-08-27 09:05:13;21.9;44.6;28.4;42.6;7.75;89;162;45;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;4.3;Eucalyptus Farm
2025-08-27 09:05:43;20.7;56.3;27.3;56.6;5.54;197;17;296;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;8.3;Eucalyptus Farm
2025-08-27 09:06:27;23.8;46.8;25.7;65.5;6.96;96;58;128;Sedang;Pantau dan sesuaikan pupuk jika perlu;6.0;Eucalyptus Farm
2025-08-27 09:06:40;25.1;52.6;30.2;65.5;6.37;90;45;241;Sedang;Pantau dan sesuaikan pupuk jika perlu;9.0;Eucalyptus Farm
2025-08-27 09:06:54;23.9;47.0;28.4;59.9;5.86;118;37;157;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.8;Eucalyptus Farm
2025-08-27 09:09:02;24.8;48.4;29.1;54.6;6.36;90;36;181;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.3;Eucalyptus Farm
2025-08-27 09:11:37;23.1;51.1;28.5;42.9;7.46;84;52;315;Sangat Subur;Pertahankan kondisi saat ini;6.2;Eucalyptus Farm
2025-08-27 09:13:09;30.4;46.3;28.0;53.2;7.57;104;79;214;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.4;Eucalyptus Farm
2025-08-27 09:13:46;26.7;60.8;28.1;68.2;6.13;53;63;194;Sedang;Pantau dan sesuaikan pupuk jika perlu;9.4;Eucalyptus Farm
2025-08-27 09:14:12;27.2;57.0;26.0;64.2;5.24;53;39;107;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.2;Eucalyptus Farm
2025-08-27 09:14:25;30.1;49.0;28.7;41.4;8.10;118;154;165;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;8.9;Eucalyptus Farm
2025-08-27 09:14:55;21.3;50.0;30.1;72.3;6.43;104;65;238;Sangat Subur;Pertahankan kondisi saat ini;2.2;Eucalyptus Farm
2025-08-27 09:14:59;24.5;59.7;26.9;67.5;6.11;83;54;234;Sangat Subur;Pertahankan kondisi saat ini;0.2;Eucalyptus Farm
2025-08-27 09:15:55;27.4;55.0;25.9;46.5;7.31;130;62;30;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;3.9;Eucalyptus Farm
2025-08-27 09:16:51;23.9;46.9;25.8;75.8;7.08;30;30;329;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;6.9;Eucalyptus Farm
2025-08-27 09:17:22;29.9;65.5;29.9;65.0;5.50;54;72;106;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.1;Eucalyptus Farm
2025-08-27 09:18:55;30.0;61.4;27.1;49.9;6.09;44;59;230;Sedang;Pantau dan sesuaikan pupuk jika perlu;7.0;Eucalyptus Farm
2025-08-27 09:18:56;22.7;57.8;27.5;66.0;6.82;144;46;263;Sangat Subur;Pertahankan kondisi saat ini;1.1;Eucalyptus Farm
2025-08-27 09:18:57;27.0;56.4;27.2;72.7;7.61;86;53;152;Sedang;Pantau dan sesuaikan pupuk jika perlu;0.4;Eucalyptus Farm
2025-08-27 09:19:37;26.7;48.2;29.8;57.4;5.57;80;78;205;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.9;Eucalyptus Farm
2025-08-27 09:19:40;21.3;61.6;29.7;46.5;7.06;67;59;125;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.5;Eucalyptus Farm
2025-08-27 09:22:11;26.2;63.1;25.6;72.1;7.00;0;0;0;Data Tidak Lengkap;Periksa sensor pH dan NPK;9.5;Eucalyptus Farm
2025-08-27 09:24:11;23.4;54.9;26.1;64.4;7.38;76;78;208;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.7;Eucalyptus Farm
2025-08-27 09:24:12;24.5;39.3;26.9;72.7;7.14;101;59;259;Sangat Subur;Pertahankan kondisi saat ini;2.8;Eucalyptus Farm
2025-08-27 09:24:16;24.9;56.0;27.9;77.3;6.50;59;55;169;Sedang;Pantau dan sesuaikan pupuk jika perlu;0.8;Eucalyptus Farm
2025-08-27 09:26:17;25.2;45.2;30.0;61.7;7.43;107;39;238;Sedang;Pantau dan sesuaikan pupuk jika perlu;9.8;Eucalyptus Farm
2025-08-27 09:27:17;21.2;62.9;26.4;68.9;7.14;58;80;188;Sedang;Pantau dan sesuaikan pupuk jika perlu;7.7;Eucalyptus Farm
2025-08-27 09:27:38;20.7;53.7;28.0;61.0;6.56;43;14;332;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;9.7;Eucalyptus Farm
2025-08-27 09:27:56;21.6;55.0;30.1;42.2;7.12;91;63;108;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.2;Eucalyptus Farm
2025-08-27 09:28:31;29.6;56.9;28.4;54.8;5.29;198;98;21;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;0.2;Eucalyptus Farm
2025-08-27 09:29:47;24.8;59.5;29.0;79.7;5.71;122;47;309;Sangat Subur;Pertahankan kondisi saat ini;1.3;Eucalyptus Farm
2025-08-27 09:29:50;24.0;61.2;29.5;46.1;6.12;97;57;107;Sedang;Pantau dan sesuaikan pupuk jika perlu;3.7;Eucalyptus Farm
2025-08-27 09:30:23;25.6;57.0;25.9;50.2;6.44;107;48;324;Sangat Subur;Pertahankan kondisi saat ini;3.6;Eucalyptus Farm
2025-08-27 09:30:42;25.3;61.3;28.9;69.0;6.90;97;34;129;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.9;Eucalyptus Farm
2025-08-27 09:32:10;21.4;50.9;26.4;79.5;7.06;115;51;133;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.6;Eucalyptus Farm
2025-08-27 09:32:16;26.2;66.0;28.4;59.2;6.71;145;54;280;Sangat Subur;Pertahankan kondisi saat ini;3.1;Eucalyptus Farm
2025-08-27 09:32:19;30.1;62.6;25.5;65.5;6.02;129;55;284;Sangat Subur;Pertahankan kondisi saat ini;0.5;Eucalyptus Farm
2025-08-27 09:33:12;24.6;42.8;30.1;40.1;7.21;196;13;237;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;8.9;Eucalyptus Farm
2025-08-27 09:33:20;26.5;62.5;29.3;50.5;7.68;144;52;25;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;2.5;Eucalyptus Farm
2025-08-27 09:34:35;22.2;47.0;28.2;71.1;8.75;136;137;292;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;3.2;Eucalyptus Farm
2025-08-27 09:34:59;30.2;38.8;29.4;52.9;7.10;27;181;291;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;0.4;Eucalyptus Farm
2025-08-27 09:35:26;27.5;46.9;30.1;78.8;6.45;119;43;346;Sangat Subur;Pertahankan kondisi saat ini;9.4;Eucalyptus Farm
2025-08-27 09:35:59;24.5;43.7;29.3;43.6;7.00;0;0;0;Data Tidak Lengkap;Periksa sensor pH dan NPK;5.1;Eucalyptus Farm
2025-08-27 09:36:31;25.1;58.0;29.7;46.8;7.34;99;63;112;Sedang;Pantau dan sesuaikan pupuk jika perlu;0.2;Eucalyptus Farm
2025-08-27 09:36:41;24.7;43.8;26.9;60.2;7.42;72;62;196;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.3;Eucalyptus Farm
2025-08-27 09:37:35;27.6;54.0;26.2;40.4;5.53;55;37;150;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.1;Eucalyptus Farm
2025-08-27 09:37:58;20.9;56.7;27.0;54.7;7.43;61;47;206;Sedang;Pantau dan sesuaikan pupuk jika perlu;7.7;Eucalyptus Farm
2025-08-27 09:38:01;27.7;38.2;28.0;45.6;7.61;43;24;201;Sedang;Pantau dan sesuaikan pupuk jika perlu;8.7;Eucalyptus Farm
2025-08-27 09:38:12;25.7;42.7;26.1;47.5;7.79;105;26;169;Sedang;Pantau dan sesuaikan pupuk jika perlu;3.5;Eucalyptus Farm
2025-08-27 09:38:15;28.8;39.7;29.2;74.0;6.92;41;73;216;Sedang;Pantau dan sesuaikan pupuk jika perlu;2.9;Eucalyptus Farm
2025-08-27 09:39:09;29.4;63.4;30.5;67.2;5.96;47;4;211;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;9.4;Eucalyptus Farm
2025-08-27 09:39:46;23.1;65.3;25.6;53.9;5.10;174;13;181;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;7.2;Eucalyptus Farm
2025-08-27 09:41:42;29.2;60.1;28.0;62.9;7.81;112;28;197;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.4;Eucalyptus Farm
2025-08-27 09:43:04;22.8;58.2;25.6;44.2;5.86;88;42;235;Sangat Subur;Pertahankan kondisi saat ini;8.0;Eucalyptus Farm
2025-08-27 09:44:25;20.6;57.4;30.0;49.7;5.62;101;53;219;Sangat Subur;Pertahankan kondisi saat ini;9.3;Eucalyptus Farm
2025-08-27 09:44:55;24.9;51.6;25.6;44.7;5.50;56;37;202;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.8;Eucalyptus Farm
2025-08-27 09:45:31;26.4;50.2;27.8;41.1;6.06;83;54;321;Sangat Subur;Pertahankan kondisi saat ini;2.1;Eucalyptus Farm
2025-08-27 09:46:14;26.5;53.1;26.2;44.6;5.84;150;67;317;Sangat Subur;Pertahankan kondisi saat ini;1.5;Eucalyptus Farm
2025-08-27 09:46:36;29.0;54.2;29.3;52.3;7.14;56;28;204;Sedang;Pantau dan sesuaikan pupuk jika perlu;4.1;Eucalyptus Farm
2025-08-27 09:47:00;26.9;46.3;28.0;71.5;5.22;199;32;20;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;8.8;Eucalyptus Farm
2025-08-27 09:49:06;20.7;50.9;26.9;45.2;6.81;90;32;195;Sedang;Pantau dan sesuaikan pupuk jika perlu;1.0;Eucalyptus Farm
2025-08-27 09:49:45;22.8;40.4;29.4;44.9;7.37;100;58;260;Sangat Subur;Pertahankan kondisi saat ini;5.9;Eucalyptus Farm
2025-08-27 09:50:16;26.8;66.6;28.2;68.6;7.56;116;55;111;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.6;Eucalyptus Farm
2025-08-27 09:50:55;24.0;50.1;27.5;47.7;6.77;110;37;224;Sedang;Pantau dan sesuaikan pupuk jika perlu;0.6;Eucalyptus Farm
2025-08-27 09:52:16;24.5;54.1;30.1;53.9;6.98;97;51;308;Sangat Subur;Pertahankan kondisi saat ini;3.5;Eucalyptus Farm
2025-08-27 09:52:56;24.0;49.1;30.4;41.6;6.66;116;66;317;Sangat Subur;Pertahankan kondisi saat ini;8.7;Eucalyptus Farm
2025-08-27 09:53:19;30.0;60.4;29.2;41.9;7.00;0;25;67;Data Tidak Lengkap;Periksa sensor pH dan NPK;5.5;Eucalyptus Farm
2025-08-27 09:53:53;30.1;53.0;30.2;63.3;6.36;46;27;137;Sedang;Pantau dan sesuaikan pupuk jika perlu;5.4;Eucalyptus Farm
2025-08-27 09:54:33;26.0;53.4;29.0;73.5;7.67;106;63;250;Sedang;Pantau dan sesuaikan pupuk jika perlu;3.2;Eucalyptus Farm
2025-08-27 09:54:53;27.0;66.6;29.5;41.6;6.61;150;7;169;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;3.3;Eucalyptus Farm
2025-08-27 09:55:10;24.5;50.9;30.3;69.0;7.84;173;159;14;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;4.1;Eucalyptus Farm
2025-08-27 09:56:06;25.0;46.4;30.2;75.4;6.48;47;112;2;Kurang Subur;Tambah pupuk sesuai kekurangan (N, P, K) dan perbaiki pH;0.8;Eucalyptus Farm
2025-08-27 09:57:02;21.8;62.8;29.4;68.3;6.11;146;49;285;Sangat Subur;Pertahankan kondisi saat ini;0.4;Eucalyptus Farm
